speed,key
0,28bedc41-e75f-4d7d-bf7f-8d058aef5421
0,0e627c61-c1a7-4c1f-a680-52e0fa5cef6b
0,47357d85-d8b1-4d95-971f-8de9c835f0ab
0,934d1413-6bb0-418e-9952-1ab3969972e8
0,e0fe4ebe-eb98-4db0-9050-8f394cf917a5
0,3e9ec69e-86ac-45d0-9762-ffcb58538a84
0,97220c7d-38a0-4517-8197-46d7bdaebbee
0,377a87bf-504d-42eb-9f7d-d56c673e1ac5
0,8056680c-394f-46c7-bf01-811fff3214dc
0,54f2c483-e8b7-43d1-ad91-d91fea17693d
0,e57eb54d-0cf3-4863-be4d-806a46b4bf61
0,a3549e35-bc80-4ffc-851f-fa41c90016fa
0,d5e79dc6-de19-4487-aa74-38183885507f
64,6c9aff2e-fd0f-4eec-bda1-3085ec12c137
50,3a918dee-24a3-407a-9b79-cb12ac1a38e7
0,9cbb5a7f-c7d4-4157-b74d-e56c155ee2f9
0,8602ca7c-812f-446e-a983-deb56086951f
0,a5ead0a8-ff12-4a3c-b781-7381bb022870
0,8b6b06f1-b770-4063-b9f3-107c48aefbe0
67,6cf0be89-e116-40c6-b656-5a68b8b3c544
68,ffade1eb-b652-4789-a96e-5ab6f160211e
0,b5c6b48f-6c0c-4352-806f-a9bb53deb464
0,7e086dcb-6152-461b-9295-23a0bc7e7764
67,b33c8090-952d-41b7-b40b-acf437185188
0,cade98b1-48b4-4d98-854e-3064bba88604
0,17d2b463-05eb-4999-9833-7e97a03d3fc7
0,becd880a-27de-465f-8bc8-fbe5a574782c
0,c16e740e-b6f4-4a0f-82fb-dc8ba0bd3747
59,82d62f5b-4cdc-4078-b30e-04019b954e18
0,5a6232b4-e95a-44d7-8943-da4e1f1df182
97,1cdd91e4-d63c-4943-ac02-33eb633d4b27
0,8788c3c8-7923-4115-abe8-dfb77d2d89c2
0,24edf766-3fa7-4185-9819-6b0758578238
0,b7eda952-3f1d-46d3-bf40-537be5002f29
0,508b09fa-fdff-4e62-83eb-4ab4d8f6ac5e
0,e73a8e91-1325-4ec1-a447-a0de89603c27
67,9e6e4585-7817-4032-a9ab-8d918f1377cd
67,89fe6263-8194-4a9b-a980-fbd1417fddf9
0,1e628547-cfd3-4c6d-b8ca-a389af7c1cd9
0,d77fae47-c3b3-4ebd-8e70-b5232c1a6cd5
68,b9a1f5aa-44db-42d4-953d-c4eb7494cf55
0,eb52e4ab-3d1c-46ac-b012-3f7c425f95d5
0,65ed444b-2bd7-46ce-b788-abb7c5c03c0d
0,92133eb2-f694-45aa-8ca5-75aaeee910ea
0,a14fc716-9dd8-47c4-9429-472a5baccc3c
50,831f841b-fd2b-4598-a32f-b3ffe2ab8eae
68,bad4e9ec-c573-41ab-abc6-94eecd4c0425
0,57489b72-440a-45e5-9232-0d82f00c4b1c
51,38115e09-a453-4bb2-b0c4-bba61066ea3a
0,4dd41757-e908-43b8-8ef2-ee6a26c9507b
67,f01639c5-c829-4479-bade-cb462ddc7856
0,98e336cc-a2a0-4c99-8a7e-45060e55c8c1
67,437563b0-daf7-4d7a-9c0d-6cf67b7efa5f
0,44741966-91d5-4903-9526-c071c95b883e
50,5338e600-93e3-4a08-9e86-9af189aa67be
0,a32f0d3b-e7cb-47b6-a2e2-34a026267806
0,6ebff99e-8eed-4b56-9fb4-ec7daf1019ce
0,5f13cacc-a8de-4493-b096-1ef758a5c5bd
0,f011a187-b9be-4515-9dd8-1ce602cea66b
0,9d2a034e-f7ea-4dff-b135-2b9c2c5dd9bd
58,45920eed-87f3-47b6-9115-dee65e79bc89
0,f26865f7-c307-451f-bcb6-64477e934b03
50,c1e2671a-824c-4c88-953a-59a75fbada68
0,30889a2b-ddb1-411e-b69d-8dfd7fd936ec
47,c10d7574-f95e-4889-a0c2-1df989a13d1d
0,bb8d5d59-7d48-489f-add7-a5db905b86f8
59,28a85ccf-39da-42f6-8a8a-beedb9fa1027
0,810b5b84-5d9f-4d98-93a4-7942aec80cb7
68,b97f925b-1293-4eac-9d6d-5fa13695c530
67,b8794500-65e2-49c1-9b99-5a7bc67f6f73
68,65af45c0-d83f-4148-96c1-4e9f4c7743fd
0,42650d50-2059-496b-8f9c-3ca2f1c9b18a
0,fdb1e24d-2118-4c7d-b820-fd89658ebf59
0,9fe2eeb3-05ba-4a1c-b560-235a64e260fd
0,33693a97-0c65-45c6-93e1-3061a5550aeb
0,e43e301d-427b-4ada-b99a-65550970b3f1
0,ae04d9dc-fd87-4a21-9a18-d48d65f02d78
0,41c61c7b-28fe-4ad9-bb9a-ad73b2b09574
67,4e753660-e7a0-443e-a822-9f9b0b37967f
0,54ec77dd-1967-4a68-b89a-3d18e574e840
0,702ac5f6-229e-4224-a9b9-fb3af057180a
0,645463dc-42f7-4c9f-ac9f-70d2556adb7f
50,576150c9-24d9-43e0-8039-b459a344afda
0,9bb49461-dfee-439d-85cb-63ba0b7a360e
59,6a56b121-6d1f-4b07-971e-7bc52e3678fc
0,fefdf3a7-66fd-48d7-bb26-819dde2296de
67,984447d1-92a1-4784-80ae-c67f228bc13f
0,91453a43-8b3a-4047-b768-ef4c6ac5971b
0,cc02df07-58d2-44c1-88b0-868040d68f76
0,ac0c3733-dc9f-4bf0-9265-05f133da052c
0,d634d837-a6e3-4b33-af78-aa56ea4fc729
0,a6aeec97-2247-4f09-b9ef-ea6caec970a0
64,2f353fa1-4220-4168-a311-18122117cd86
64,e1966877-2e63-4491-8235-756709ac741d
67,b241b93e-aa2a-424c-8df9-13d7d3da1abb
0,89b89144-07b9-4dc1-99e8-55921f8b0b89
0,aac86625-29ba-4c3b-afca-54138ea92644
64,0362f78c-2f60-4807-9d80-845d12892ce2
0,1b65e7ef-2d2f-4eb6-9a30-2da565e3d8c1
67,056ec39a-3359-4a88-8d34-04483839b952
0,f06b4767-10c7-4516-8ee1-65a667668b16
0,fdb88df0-04c9-4ff2-af9b-8e7a182f213d
0,1206662f-582b-41b3-af94-6a6517c2c53a
0,d97596e5-e635-46e4-97e0-19ec2aa3f537
0,6ad0acfa-5730-4cc9-964c-5fc55703aeb2
0,e3880d10-33c3-46ff-b8fb-a8f71e983bea
67,52aced82-56c9-48c7-bf5a-92fc320435a4
68,2d11e7fb-759e-4b39-949b-7e16cd85eeda
0,c673dade-94fc-4975-9eed-9b4145079b4f
0,673ff84e-ab94-4c20-8b0f-870c898ad403
27,1b0d9177-9e2b-4567-bf04-ffda68c2dbda
0,f8c6218d-83ef-4011-be09-880f15dd60cb
64,2d77b737-1547-48e2-9884-1b6092bc1e27
0,8b00e8e0-8258-415f-8670-f7079f7a47a1
0,f42687b9-371a-4371-bac1-248759b4f378
0,a372cce4-0f17-4c30-900e-e73ad551f6b7
0,4771ca58-a36a-4154-91c9-227b8a9e2374
67,61b02ecb-ca2d-41ed-997a-b2cd238a1f45
0,7b41172c-6605-4f29-88c6-bcb19333945c
66,4fd72041-b51f-475e-9f11-b2a1f2f2332d
0,ae62bf91-bc6b-428f-b1c2-8ab1b2dd12a0
64,64102018-23fe-4ee6-a1ad-ba7c67bd8407
61,34bf8d38-dab9-49a0-ad9a-2592ade16188
58,729dd0c9-808e-4e31-b1ca-dad7ccc0e22c
0,3e511f3d-07ab-4a69-bdf0-e6697e43ffd4
0,d15784e5-4cab-4a08-b389-c20d8a509570
0,194ef8e0-1100-490b-8102-cb47d1408325
65,81013aeb-5a8b-4539-8e95-27c459c7665f
0,a41e2c39-4e34-45e5-87bc-014f9b9ef385
0,9b186a34-00c9-4cea-98f1-babdddfae7ec
0,a931408c-d61f-4e48-98a7-62d9d430731c
0,b2c5f74a-efce-44ca-8442-66c0e4446326
50,ba517c4c-2061-4a96-9220-907a5b63d42c
67,1eea88d4-2c93-4171-b9b1-7c8b6a65bd59
0,51e1b7a7-d7da-47b3-ab5a-b5144f01c9c8
68,ed902b0b-3e11-454b-a73e-f3e44c06951b
0,44e17659-7bf9-42af-aa6d-4098449f240d
0,bc5ff74c-6a6a-4630-9e53-9e77c47dd793
0,4bf25f76-5e14-4a6d-9888-6d06d79b7be4
0,ed9e96f5-4e43-4f51-a10a-7a05d0156afe
0,1a9e6c75-7835-426d-8669-08cc17ecbfca
0,85c79a9c-d760-4783-8079-c9dec7ff0172
0,36eb8109-79bc-46ab-987b-50b32469a7cf
0,4a7090ae-81b7-4718-a0f7-4da00360ab9f
0,1cb2d441-f8fb-4f50-b56e-e5814dcae957
0,5adb8083-33ea-4d17-94ee-3985371e4569
0,a2ab6985-5923-4d52-923d-72b01625cc72
0,1e8877ff-2b29-41ec-8f61-6ddb53675aae
66,726738cb-3eb4-4098-af68-3544d74a82fe
67,dd919adb-22b7-479e-af10-3bca581321a4
0,3bc43896-22c6-4ae1-aadd-fe723141ed9b
67,5171bac7-49e4-451f-ad8b-a0c38d80c32f
0,fd9d68f0-7035-43f8-923c-548e0eaf0f9d
50,003931c9-2ff6-4421-bb38-7e7e110ada31
68,0bceca3f-8133-4470-83ec-4241f96c5da9
0,53246280-5cd0-4ddd-813a-82b426f1c716
0,124c936f-1130-4048-bd2f-578a081fcf4d
0,48994451-79e4-418e-bd7a-2a245624c7fe
0,847c8277-a9fe-43b9-b927-5e89a5ea5525
50,afe95076-c327-48db-8e64-c9c2e8eec9f2
0,a4f95464-05fe-4362-9721-735bd69e84fb
0,fc54072d-fcc2-419f-a64e-f7ff59ab97d1
67,3ab5c6ab-43fc-49a3-9396-9c2c3a9e29e6
0,3bf54ee3-53ab-4dc1-b9e5-7e98224b7d66
0,5e350bb4-1d3d-4c95-8992-4e44b524ca61
67,264af1ea-80be-41f7-aa31-6e6436adcfeb
0,00204e89-a352-4be0-8373-38b676cafd16
0,7e0260ad-00b3-40b1-8604-e0f4acd36918
0,0e96819b-d309-4aa4-9fb7-f278bc783573
0,adc288f3-89c3-4156-bff8-885ab116d530
67,7d839289-7359-4668-8771-3156889a053e
0,f0e9a288-662d-40b7-8c7d-47890ff28013
0,0eeda37d-a82c-4c18-afa0-0fa13a1083cb
0,aaae80e0-29ed-462f-94c2-a81a9949f8e4
68,deb460e2-0b34-4641-912b-7ac1b2e2f506
0,18a73a5f-fb54-4fd3-80e4-ec18c5b2753e
0,3b2b5cd2-02bc-4e37-996f-87eed9c98cfe
0,54297cbb-6685-4ae5-b330-3f8f07ba1dfb
0,acd25cf0-da36-4640-8056-0d20dff78a2a
0,92968fcc-e6ce-4941-9b64-18399c081485
68,683e08e0-2c05-4581-b01c-46df819fd54a
0,e4179662-c992-4815-bbd4-e02404aad271
0,42072881-10d8-4fa8-a321-84d7a4d11c60
67,1544a5f2-2d64-49d0-8d47-6d54a3ffbe14
0,6e77bcab-ccef-4d4d-bc8a-6c639e47b6d4
68,5b474447-d6eb-4b97-b70d-5903e6dee3fc
0,270a7283-b048-4efe-b9e1-810604a20678
0,ab92ca15-a1eb-4697-bb63-2800f4468958
0,4a6cdef2-b2e4-4090-93ef-a74e0ac162f6
68,b543b3ae-1d7e-4748-bba1-bdb597438366
0,518167a1-fa74-4a35-b4a9-98716628958f
0,9c2186bc-6edb-4a4c-89ee-18a90a6a4bea
68,b48d22cb-da29-4181-92c5-aae6842da63b
0,8343773d-1abc-4167-9df3-a1b6d1747664
0,e2bd276a-9245-4abc-bd32-227e4d85640d
0,1e260e1f-7aa0-46be-b34a-a0d0f6928e11
0,b6ab0f71-7442-450e-9308-865d18f60f48
0,1bfcbb75-b246-4402-a0d4-25e8b65d940f
47,c2246414-cdb0-4517-8e9c-6d9df3168c48
0,dbc78bb2-6791-4e02-9d8a-d3a3c8114f9f
0,85265405-95a1-4ae7-9662-c833af78b8c7
0,3c0f7ee9-e0b7-46c2-b943-62ec5162d05e
0,178b1d30-94e6-4d7d-b787-1146cb6499ab
72,9b36567c-7498-436e-95a8-2d8860f3dbcb
0,73072b00-c046-436b-88dc-662483bfdbdc
97,d57e8736-ff45-40e9-a736-25383e8d4b62
0,9092e8a5-f4d2-430d-9664-85888a02f011
0,82656af2-d72f-47cf-9522-2eea561691fb
0,fabe8b5a-2efc-4fad-a1f2-cf8e2c0f4adb
0,bb6392d2-bf10-42f5-8ff1-0245965420d6
0,304dda72-c940-42a8-a78d-8052f6f64dee
0,6e291f4b-7e89-4418-8474-7c63e88513a4
0,b77e45a1-6f1d-4a37-8177-031ff1349961
0,397aa4f9-3acf-4132-b26f-3e23b903c92f
0,2e4ee644-402d-426f-acc2-135dc82131b3
0,412e940f-5cf3-4cfd-82f1-c1ffd622caed
0,c048253a-28b6-4ac5-b385-6171eb7fe63d
0,4061fbb0-416d-4e3f-b0b6-d0cb72a38554
0,5328dac6-bcb9-47c4-ba7e-75056a613e94
0,6d105e5d-d3f7-4036-899e-2691200a64ed
0,03a5f86a-6c0b-42ff-b1e5-7857a5c21a7d
0,69404b97-e5de-46d2-862b-0fc39441f7cf
0,f4883091-30ee-420e-bf76-afa1f9849678
67,7de51f8e-5efe-4aed-81cf-b3e6886d788e
0,b354c92b-eba4-4702-8bf7-f676040b33d0
0,abde0940-dab2-42d0-9924-0beef2df6eb8
0,df76b0ca-518f-402c-93b0-4a762ca760fa
0,0156bc5f-da9c-415e-a5da-d15f7eb6a515
0,a693d143-b0aa-47b3-8ef5-6720f5bc7e80
0,ea809c64-3037-4c88-901f-12e698aba645
0,b9199e0d-23f9-40d3-9dec-4495e035725e
0,b61fe6d3-a2d0-4683-afe8-539525679bd1
0,827a1f18-ba4e-4f76-b681-5527a5b48fb1
0,e190d993-cc63-44cd-bda7-82c924fe2093
0,e24e9d70-b50f-478c-8eb1-6cded4408c95
0,4879fc7f-51d0-4992-9618-efba64d8a6fe
64,8290a193-0ca3-4e72-8a72-38982470fff3
0,2736d733-81ab-4c56-a4ff-1fa6ca3006b1
0,c49e5aeb-4f61-4f0a-a5ab-f96f7e07ab93
0,dc08bd32-33f2-4a16-b59c-192685782750
69,fc8e7044-d3f9-4fa3-9e6b-ea7ba2ce41f5
0,70239959-e7e5-461a-85e7-097021379dd4
0,e9a764d3-62e4-4a83-8c48-2024c7112ab8
0,22aac87c-5554-40d2-a1ee-f691b04edc6b
68,3c012025-a6ca-406c-9b63-56050e841926
0,b0a6f16a-f164-49b5-85c5-55b1da4db587
0,e308c96a-415b-4065-8ee9-b99800b86520
0,93f44a73-99b1-4b8f-82e4-2f58f5ad9a52
0,f24c3d45-e070-4622-b1e3-4aef1e327f6c
0,1019a2fb-0895-4869-a4d2-7ec71788fe5a
59,d7494e88-ccfc-437d-ad2d-1fb1f66d04d4
0,406e3743-e31a-4a01-a5ff-5626d8631e3b
0,1a1269af-a2ce-4040-96e3-65b5760c21e9
0,87fa824b-e712-47d1-a7fa-002645590c48
0,91de2a13-2baa-4ecf-a103-4dc77e3f4150
0,d41a387d-8542-4032-9d97-8d2185eec3ae
64,108af704-0f48-4152-8166-e69f9256ad72
0,16205042-f5ca-4009-b214-14a0b75de82b
0,dfa5f6c8-756c-4ccf-b1b2-e82d616543d5
0,9170960d-e9da-4c01-a934-a6b94c29b22c
0,f6cb6a6b-2461-4a46-90ae-cbf410ca9890
0,2f1dbffa-d3cb-4e2a-afd9-59f6812b02a1
0,44977583-bd13-4ddf-aa62-b8026a78970b
0,354b180e-fb62-46c7-9c41-fd946b105f5f
0,428549f2-9488-4b22-b73c-608dd9f40760
0,5ce5a0d8-8fdc-4e78-8ed1-7ae35be453d5
64,40364d00-6d3b-4c05-b31d-8e16eb46de9b
0,c90da4e2-440e-4ba3-a961-6b647d229772
0,cb2c2cc4-df7c-4349-9c3d-9471e432fd38
0,b6e266dc-3866-4ffd-85cf-07bbf54a50da
0,521ae2a3-fd43-402c-a302-3d49731ed8bd
0,47ca023a-680d-424b-abde-075a9e5f8319
67,7f43482b-d12e-4b24-8a8b-86ba9d227222
0,b2c3254c-c564-464c-9cce-55da70f23630
0,fcae849e-0f83-4a5c-896a-d810f55a9900
0,ae28dd17-eb17-4346-82a0-af2ec48ca101
0,00c6e66b-c359-41c0-84af-78e58db3c754
0,8d12b65c-b80b-4762-9c2a-7be62474deb2
68,396537f3-1645-48ca-a4e5-9b6834a23bfa
0,13f23fa0-9916-40e3-85eb-23781a24fda7
0,2c4816e0-8b8d-46fe-b6d1-c32476d0f610
0,e1e2ac74-0147-45f6-8b20-38c7f4a80832
0,228b5843-88b4-4e0d-96f0-2040eadf8a69
0,56b32612-a5fb-4277-b76d-15a979c47149
0,a2536c39-44e6-47c5-a1ee-7f9433c0cc44
0,451adef7-b611-4425-af06-aff77e8df986
68,53f33940-caf3-4a56-9581-4f467c5dd77c
0,c07aa5d0-0be0-4d3b-8ba7-9eabc7a2950b
0,fd8f8a6a-298f-4beb-971f-da6c0336645f
0,e5314307-7350-4ab9-8731-a1d325589cec
0,8cffece1-703e-4043-85c1-f0b00e0e9618
0,9ea8ef34-7e86-496f-9811-ed8b7f5ba0fa
0,5d8794a4-f51d-443d-8d36-920682c2031c
0,f7e0b0c0-5a99-4483-94cf-50e841e4e4a5
0,ea76b437-190f-4b12-9e24-550f6b7ca393
0,3333d630-38b5-469b-a96e-ecf2f410c149
63,2cb6c6ce-1228-42c8-9ee4-1e85888ef154
0,9d827412-5300-4b35-b991-ebe6a9719ef4
0,bd62bc99-291e-4db6-a45c-77ec26214e28
0,7c167d8d-45c7-408e-bc59-bc14b52c7159
0,c1f1300b-5745-4354-9114-dff3bf129a9d
0,89374482-1a99-4515-afe4-b523fc9243ae
0,f8491d5b-dc8e-4517-9daf-05166473c375
0,3558a0d9-bdbb-4223-a36f-63a30376ad44
67,55fa762f-e803-4c7b-ab38-6d2d1e00bd8b
0,e8317885-05cf-402f-bedf-90541c41045d
0,198057fc-3243-4fed-a82d-264cac75ce94
67,bfd858e2-fec1-422b-872d-3f57886ed4f4
68,8f49f2b0-9acc-40b4-99b5-0b5671b507f5
0,a4227319-85f4-4ed1-94c5-8708b4572a56
0,c701014e-3732-4653-92a7-78feaba263dc
0,a88a919e-2bb6-4c4d-b3f3-4dcb9b6408ed
0,9913e016-5e8f-4fa8-aaec-bffdbb7da02c
0,9196292c-79c9-441e-af7c-b4bd47845310
0,4d20e98d-dac0-4464-bce2-f92583846be0
0,1e719cd7-7f79-45aa-b538-c4265d7b497c
0,c45bdf3d-cf19-4079-be47-ae9a6bb258e7
50,f4207030-d392-4709-b621-eea4741a4f50
0,6c5b44de-815f-4bae-9f4f-ab48d31a805f
0,b188e763-f13d-41fd-a6e4-1b620fafa575
0,1c077086-212c-4277-b538-8dda635d851b
0,ab261717-313d-4a64-bcab-55fa4b139181
68,9925d06a-fa74-4bf7-b903-af6f518ac6e7
0,0817107a-2860-4f43-8980-778814507259
50,849c9f87-f8f8-4bcc-9987-827f00698700
0,ccb79adc-338e-41ce-9128-ed1cb56c081c
0,17421524-1e51-48be-9b43-f4a960406807
0,759ad9f5-1331-49a6-8bfd-b288c634d020
0,67943e04-f8a5-4297-aa12-186ca1159f87
64,2323499f-25f5-40eb-965d-0327da212f83
0,70cd9aae-934a-448b-a2ee-0c9a8fab6883
0,d42cb35a-c9b6-4334-8ba0-84aca7871add
0,02a8912f-06a1-4bd9-ba27-f0d77322e69b
67,f4ca62d6-b7ea-4318-b559-ba1d491a655d
0,f092e837-8f95-4102-8dbe-d3694c68e259
50,0b9e4062-b976-4b48-be65-0c82b833359a
0,6fc799ea-d862-4947-83b8-171ee9fd85eb
0,94535241-57fb-4707-80f5-a50167cb456f
0,db15a25a-7a3e-4ec4-807d-5e9b135271f3
0,db06abdc-cbdc-4fa8-86b5-d00e6a3b00ea
0,acfb9ac2-3eff-4ea0-8257-68c820f7e1d4
0,af978d48-2f3b-4782-8883-31c895fe2b2d
68,0df5dc69-22de-4568-b5ac-3cb183280b6d
0,3f060c91-f9f8-4c78-8491-a5a03e8eb7cc
0,92eb89aa-88ce-43fe-bdae-895b153f75b4
0,ca0b4efc-dddc-45ff-8a9a-774bf15cda8a
0,ab43859f-c5b0-49df-8a6a-3c6ec64aafb5
0,fe9cdf51-7d4d-41a9-b6c6-91be0e08ff01
0,bf73aac8-fc30-490c-8918-c88db2561081
0,e7b4aaae-8637-462a-8f18-39f14b4cbfc7
0,9c4a0cb9-2b42-4304-af0a-5f8dc618cc81
0,bfce05e3-6ef5-48e3-b303-4a8671716412
64,c43eb03c-f24e-44e5-8a77-17cd451ee491
0,66eda3e2-0c92-4146-96fc-66b6f70e0b1c
0,0adb905d-80dc-47a4-8fae-6d6ec824befc
0,4016a42c-304c-44df-9b64-558e444391de
68,5c9b86ff-8165-42cb-b8f4-6193ef88d805
64,fe28ca2e-3fb1-40e2-b6ed-b9a1cfecb463
0,95310be3-2e47-47a6-9ce2-6da6c5da68bd
0,d204f4b1-f549-4f81-91f9-056d6689a917
0,ab09214c-ea49-41c6-b810-8f37d8b5eab6
0,8188d347-5b33-41af-b72b-21051f6dc0ef
0,b0c90d4f-cc93-4a4c-aab3-2077cd70cded
0,3d44cbea-910d-40e5-92ae-2b5721fc9ec1
0,e368efe8-c9a2-4d6f-82c6-8106431f6b8d
0,023b08a6-6b6c-431c-9b83-c198e09a4627
0,5dc5e59c-52c0-4fd6-9d20-583072586a89
0,a0e29aa5-0d12-476a-9e23-4b84c3a6f7d9
64,847e4cf8-5abb-4910-aedf-c4901e01eef6
50,f31db50f-eaf6-4b6b-9918-21dc5ef1f192
0,7a0b2a91-c9c2-4f26-ac99-5b113ba22458
0,4d4b2575-14b3-41c2-9c80-8c54d5031c71
0,d01c2455-ff0b-4d4c-bda7-c5e5ba7627f6
0,44faa3fc-b2ee-46e3-a291-4cdd93d78a8b
0,626baac4-af79-418a-8920-2b95eb06e1e8
0,a4f16e1d-e2d0-48f7-a342-9bb3bdadefbe
0,22c94954-80c6-483e-9d2b-ccea1f802dc6
0,bbb03411-672b-4e06-804f-e8a979f4844f
0,9fea10f0-9a2b-440e-882f-bf931ede5f47
0,56ac3ef2-1829-4891-b918-84670fcaae63
68,670e49eb-50b5-45f9-aa68-071a232e6fa6
0,544d10e5-06e5-4f84-bfda-2071eb499b20
0,02bf8afe-641d-4cdb-a232-ae23a6f8a445
0,b44c67e0-c109-4325-bbe6-0281a161240b
0,87a04703-eda3-4314-b5ff-13a906a178f9
0,f1806d5b-a4aa-4ef5-89a5-5a3e4196d4a8
64,d0365c2f-c6ef-481e-a480-0563ee0d1d43
0,d54f7270-08f5-4fd2-9ae3-2f1994a884b2
0,3f00b196-e788-4853-a91f-d1899d5abc8d
0,3ee5b33f-ed03-4752-948d-4761168399cc
68,eaca6c1d-7175-4e60-9140-273a1a197a11
0,78f09e86-35cd-49e4-9431-2b7dc103bf7c
0,520c2677-53f4-4461-876c-e47dc7164a21
0,b1b5d513-4c14-45ba-95c4-e27c330719d8
0,920e4224-0118-40cf-8f42-b6e7ebf91cd1
0,b5c6bd13-09c8-46ec-aeef-5393a0eab723
0,2d01c462-dc97-410b-beca-9992e2051900
0,058a9703-fd0f-48f7-8803-966f166f5e1c
65,ebdb6216-6e9a-4dc5-b47a-d35da0636d53
0,b3acfb8c-666d-4066-b340-22e21bc3cc14
0,0b8626e9-7028-474c-bc40-5bd271e17d49
0,10c1c637-af70-4d31-acff-4663299a3bdc
0,41d3f730-fd86-427c-8a8d-13232b3800f2
0,5fd1103f-130a-4e9d-b515-4e4958a60788
0,bf160e26-bd93-4e7d-a0be-164d0f9911b4
68,8bf6da77-31c7-4b1a-a1c8-0c70a678be27
0,f68802bc-55e7-4d32-aa33-8544d584b103
67,a616f594-08af-434c-9800-2ca4e2a8ae4f
0,03fabd40-c5b4-45ea-88d6-c9e1727d1b7e
